FID,OBJECTID,field,Var1,Var2,value
0,17370,65165,-0.625000000000000,-79.125000000000000,1
1,17381,65223,-0.625000000000000,-78.875000000000000,1
2,17397,65281,-0.625000000000000,-78.625000000000000,1
3,17398,65282,-2.625000000000000,-78.625000000000000,1
4,17416,65339,-0.625000000000000,-78.375000000000000,1
5,17417,65340,-2.625000000000000,-78.375000000000000,1
6,17435,65397,-0.625000000000000,-78.125000000000000,1
7,17436,65398,-2.625000000000000,-78.125000000000000,1
8,17454,65455,-0.625000000000000,-77.875000000000000,1
9,17455,65456,-2.625000000000000,-77.875000000000000,1
10,17474,65513,-0.625000000000000,-77.625000000000000,1
11,17475,65514,-2.625000000000000,-77.625000000000000,1
12,17493,65570,1.375000000000000,-77.375000000000000,1
13,17494,65571,-0.625000000000000,-77.375000000000000,1
14,17495,65572,-2.625000000000000,-77.375000000000000,1
15,17513,65628,1.375000000000000,-77.125000000000000,1
16,17514,65629,-0.625000000000000,-77.125000000000000,1
17,17515,65630,-2.625000000000000,-77.125000000000000,1
18,17516,65631,-4.625000000000000,-77.125000000000000,1
19,17533,65686,1.375000000000000,-76.875000000000000,1
20,17534,65687,-0.625000000000000,-76.875000000000000,1
21,17535,65688,-2.625000000000000,-76.875000000000000,1
22,17536,65689,-4.625000000000000,-76.875000000000000,1
23,17552,65744,1.375000000000000,-76.625000000000000,1
24,17553,65745,-0.625000000000000,-76.625000000000000,1
25,17554,65746,-2.625000000000000,-76.625000000000000,1
26,17555,65747,-4.625000000000000,-76.625000000000000,1
27,17572,65802,1.375000000000000,-76.375000000000000,1
28,17573,65803,-0.625000000000000,-76.375000000000000,1
29,17574,65804,-2.625000000000000,-76.375000000000000,1
30,17575,65805,-4.625000000000000,-76.375000000000000,1
31,17593,65860,1.375000000000000,-76.125000000000000,1
32,17594,65861,-0.625000000000000,-76.125000000000000,1
33,17595,65862,-2.625000000000000,-76.125000000000000,1
34,17596,65863,-4.625000000000000,-76.125000000000000,1
35,17618,65918,1.375000000000000,-75.875000000000000,1
36,17619,65919,-0.625000000000000,-75.875000000000000,1
37,17620,65920,-2.625000000000000,-75.875000000000000,1
38,17621,65921,-4.625000000000000,-75.875000000000000,1
39,17622,65922,-6.625000000000000,-75.875000000000000,1
40,17642,65975,3.375000000000000,-75.625000000000000,1
41,17643,65976,1.375000000000000,-75.625000000000000,1
42,17644,65977,-0.625000000000000,-75.625000000000000,1
43,17645,65978,-2.625000000000000,-75.625000000000000,1
44,17646,65979,-4.625000000000000,-75.625000000000000,1
45,17647,65980,-6.625000000000000,-75.625000000000000,1
46,17667,66033,3.375000000000000,-75.375000000000000,1
47,17668,66034,1.375000000000000,-75.375000000000000,1
48,17669,66035,-0.625000000000000,-75.375000000000000,1
49,17670,66036,-2.625000000000000,-75.375000000000000,1
50,17671,66037,-4.625000000000000,-75.375000000000000,1
51,17672,66038,-6.625000000000000,-75.375000000000000,1
52,17692,66091,3.375000000000000,-75.125000000000000,1
53,17693,66092,1.375000000000000,-75.125000000000000,1
54,17694,66093,-0.625000000000000,-75.125000000000000,1
55,17695,66094,-2.625000000000000,-75.125000000000000,1
56,17696,66095,-4.625000000000000,-75.125000000000000,1
57,17697,66096,-6.625000000000000,-75.125000000000000,1
58,17717,66149,3.375000000000000,-74.875000000000000,1
59,17718,66150,1.375000000000000,-74.875000000000000,1
60,17719,66151,-0.625000000000000,-74.875000000000000,1
61,17720,66152,-2.625000000000000,-74.875000000000000,1
62,17721,66153,-4.625000000000000,-74.875000000000000,1
63,17722,66154,-6.625000000000000,-74.875000000000000,1
64,17742,66207,3.375000000000000,-74.625000000000000,1
65,17743,66208,1.375000000000000,-74.625000000000000,1
66,17744,66209,-0.625000000000000,-74.625000000000000,1
67,17745,66210,-2.625000000000000,-74.625000000000000,1
68,17746,66211,-4.625000000000000,-74.625000000000000,1
69,17747,66212,-6.625000000000000,-74.625000000000000,1
70,17766,66265,3.375000000000000,-74.375000000000000,1
71,17767,66266,1.375000000000000,-74.375000000000000,1
72,17768,66267,-0.625000000000000,-74.375000000000000,1
73,17769,66268,-2.625000000000000,-74.375000000000000,1
74,17770,66269,-4.625000000000000,-74.375000000000000,1
75,17771,66270,-6.625000000000000,-74.375000000000000,1
76,17772,66271,-8.625000000000000,-74.375000000000000,1
77,17790,66323,3.375000000000000,-74.125000000000000,1
78,17791,66324,1.375000000000000,-74.125000000000000,1
79,17792,66325,-0.625000000000000,-74.125000000000000,1
80,17793,66326,-2.625000000000000,-74.125000000000000,1
81,17794,66327,-4.625000000000000,-74.125000000000000,1
82,17795,66328,-6.625000000000000,-74.125000000000000,1
83,17796,66329,-8.625000000000000,-74.125000000000000,1
84,17813,66380,5.375000000000000,-73.875000000000000,1
85,17814,66381,3.375000000000000,-73.875000000000000,1
86,17815,66382,1.375000000000000,-73.875000000000000,1
87,17816,66383,-0.625000000000000,-73.875000000000000,1
88,17817,66384,-2.625000000000000,-73.875000000000000,1
89,17818,66385,-4.625000000000000,-73.875000000000000,1
90,17819,66386,-6.625000000000000,-73.875000000000000,1
91,17820,66387,-8.625000000000000,-73.875000000000000,1
92,17837,66438,5.375000000000000,-73.625000000000000,1
93,17838,66439,3.375000000000000,-73.625000000000000,1
94,17839,66440,1.375000000000000,-73.625000000000000,1
95,17840,66441,-0.625000000000000,-73.625000000000000,1
96,17841,66442,-2.625000000000000,-73.625000000000000,1
97,17842,66443,-4.625000000000000,-73.625000000000000,1
98,17843,66444,-6.625000000000000,-73.625000000000000,1
99,17844,66445,-8.625000000000000,-73.625000000000000,1
100,17869,66496,5.375000000000000,-73.375000000000000,1
101,17870,66497,3.375000000000000,-73.375000000000000,1
102,17871,66498,1.375000000000000,-73.375000000000000,1
103,17872,66499,-0.625000000000000,-73.375000000000000,1
104,17873,66500,-2.625000000000000,-73.375000000000000,1
105,17874,66501,-4.625000000000000,-73.375000000000000,1
106,17875,66502,-6.625000000000000,-73.375000000000000,1
107,17876,66503,-8.625000000000000,-73.375000000000000,1
108,17901,66554,5.375000000000000,-73.125000000000000,1
109,17902,66555,3.375000000000000,-73.125000000000000,1
110,17903,66556,1.375000000000000,-73.125000000000000,1
111,17904,66557,-0.625000000000000,-73.125000000000000,1
112,17905,66558,-2.625000000000000,-73.125000000000000,1
113,17906,66559,-4.625000000000000,-73.125000000000000,1
114,17907,66560,-6.625000000000000,-73.125000000000000,1
115,17908,66561,-8.625000000000000,-73.125000000000000,1
116,17933,66612,5.375000000000000,-72.875000000000000,1
117,17934,66613,3.375000000000000,-72.875000000000000,1
