FID,OBJECTID,field,Var1,Var2,value
0,15387,57901,27.375000000000000,-110.375000000000000,1
1,15404,57959,27.375000000000000,-110.125000000000000,1
2,15421,58017,27.375000000000000,-109.875000000000000,1
3,15438,58075,27.375000000000000,-109.625000000000000,1
4,15455,58133,27.375000000000000,-109.375000000000000,1
5,15472,58191,27.375000000000000,-109.125000000000000,1
6,15489,58249,27.375000000000000,-108.875000000000000,1
7,15506,58307,27.375000000000000,-108.625000000000000,1
8,15507,58308,25.375000000000000,-108.625000000000000,1
9,15524,58365,27.375000000000000,-108.375000000000000,1
10,15525,58366,25.375000000000000,-108.375000000000000,1
11,15542,58423,27.375000000000000,-108.125000000000000,1
12,15543,58424,25.375000000000000,-108.125000000000000,1
13,15560,58481,27.375000000000000,-107.875000000000000,1
14,15561,58482,25.375000000000000,-107.875000000000000,1
15,15578,58539,27.375000000000000,-107.625000000000000,1
16,15579,58540,25.375000000000000,-107.625000000000000,1
17,15596,58597,27.375000000000000,-107.375000000000000,1
18,15597,58598,25.375000000000000,-107.375000000000000,1
19,15614,58655,27.375000000000000,-107.125000000000000,1
20,15615,58656,25.375000000000000,-107.125000000000000,1
21,15632,58713,27.375000000000000,-106.875000000000000,1
22,15633,58714,25.375000000000000,-106.875000000000000,1
23,15650,58771,27.375000000000000,-106.625000000000000,1
24,15651,58772,25.375000000000000,-106.625000000000000,1
25,15668,58829,27.375000000000000,-106.375000000000000,1
26,15669,58830,25.375000000000000,-106.375000000000000,1
27,15686,58887,27.375000000000000,-106.125000000000000,1
28,15687,58888,25.375000000000000,-106.125000000000000,1
29,15688,58889,23.375000000000000,-106.125000000000000,1
30,15705,58945,27.375000000000000,-105.875000000000000,1
31,15706,58946,25.375000000000000,-105.875000000000000,1
32,15707,58947,23.375000000000000,-105.875000000000000,1
33,15724,59003,27.375000000000000,-105.625000000000000,1
34,15725,59004,25.375000000000000,-105.625000000000000,1
35,15726,59005,23.375000000000000,-105.625000000000000,1
36,15743,59061,27.375000000000000,-105.375000000000000,1
37,15744,59062,25.375000000000000,-105.375000000000000,1
38,15745,59063,23.375000000000000,-105.375000000000000,1
39,15762,59119,27.375000000000000,-105.125000000000000,1
40,15763,59120,25.375000000000000,-105.125000000000000,1
41,15764,59121,23.375000000000000,-105.125000000000000,1
42,15765,59122,21.375000000000000,-105.125000000000000,1
43,15782,59177,27.375000000000000,-104.875000000000000,1
44,15783,59178,25.375000000000000,-104.875000000000000,1
45,15784,59179,23.375000000000000,-104.875000000000000,1
46,15785,59180,21.375000000000000,-104.875000000000000,1
47,15786,59181,19.375000000000000,-104.875000000000000,1
48,15803,59235,27.375000000000000,-104.625000000000000,1
49,15804,59236,25.375000000000000,-104.625000000000000,1
50,15805,59237,23.375000000000000,-104.625000000000000,1
51,15806,59238,21.375000000000000,-104.625000000000000,1
52,15807,59239,19.375000000000000,-104.625000000000000,1
53,15824,59293,27.375000000000000,-104.375000000000000,1
54,15825,59294,25.375000000000000,-104.375000000000000,1
55,15826,59295,23.375000000000000,-104.375000000000000,1
56,15827,59296,21.375000000000000,-104.375000000000000,1
57,15828,59297,19.375000000000000,-104.375000000000000,1
58,15845,59351,27.375000000000000,-104.125000000000000,1
59,15846,59352,25.375000000000000,-104.125000000000000,1
