FID,OBJECTID,field,Var1,Var2,value
0,15766,59161,59.375000000000000,-104.875000000000000,1
1,15767,59162,57.375000000000000,-104.875000000000000,1
2,15768,59163,55.375000000000000,-104.875000000000000,1
3,15769,59164,53.375000000000000,-104.875000000000000,1
4,15770,59165,51.375000000000000,-104.875000000000000,1
5,15787,59219,59.375000000000000,-104.625000000000000,1
6,15788,59220,57.375000000000000,-104.625000000000000,1
7,15789,59221,55.375000000000000,-104.625000000000000,1
8,15790,59222,53.375000000000000,-104.625000000000000,1
9,15791,59223,51.375000000000000,-104.625000000000000,1
10,15808,59277,59.375000000000000,-104.375000000000000,1
11,15809,59278,57.375000000000000,-104.375000000000000,1
12,15810,59279,55.375000000000000,-104.375000000000000,1
13,15811,59280,53.375000000000000,-104.375000000000000,1
14,15812,59281,51.375000000000000,-104.375000000000000,1
15,15829,59335,59.375000000000000,-104.125000000000000,1
16,15830,59336,57.375000000000000,-104.125000000000000,1
17,15831,59337,55.375000000000000,-104.125000000000000,1
18,15832,59338,53.375000000000000,-104.125000000000000,1
19,15833,59339,51.375000000000000,-104.125000000000000,1
20,15850,59393,59.375000000000000,-103.875000000000000,1
21,15851,59394,57.375000000000000,-103.875000000000000,1
22,15852,59395,55.375000000000000,-103.875000000000000,1
23,15853,59396,53.375000000000000,-103.875000000000000,1
24,15854,59397,51.375000000000000,-103.875000000000000,1
25,15871,59451,59.375000000000000,-103.625000000000000,1
26,15872,59452,57.375000000000000,-103.625000000000000,1
27,15873,59453,55.375000000000000,-103.625000000000000,1
28,15874,59454,53.375000000000000,-103.625000000000000,1
29,15875,59455,51.375000000000000,-103.625000000000000,1
30,15892,59509,59.375000000000000,-103.375000000000000,1
31,15893,59510,57.375000000000000,-103.375000000000000,1
32,15894,59511,55.375000000000000,-103.375000000000000,1
33,15895,59512,53.375000000000000,-103.375000000000000,1
34,15896,59513,51.375000000000000,-103.375000000000000,1
35,15913,59567,59.375000000000000,-103.125000000000000,1
36,15914,59568,57.375000000000000,-103.125000000000000,1
