FID,OBJECTID,field,Var1,Var2,value
0,15771,59166,49.375000000000000,-104.875000000000000,1
1,15772,59167,47.375000000000000,-104.875000000000000,1
2,15773,59168,45.375000000000000,-104.875000000000000,1
3,15774,59169,43.375000000000000,-104.875000000000000,1
4,15775,59170,41.375000000000000,-104.875000000000000,1
5,15776,59171,39.375000000000000,-104.875000000000000,1
6,15777,59172,37.375000000000000,-104.875000000000000,1
7,15778,59173,35.375000000000000,-104.875000000000000,1
8,15779,59174,33.375000000000000,-104.875000000000000,1
9,15780,59175,31.375000000000000,-104.875000000000000,1
10,15781,59176,29.375000000000000,-104.875000000000000,1
11,15792,59224,49.375000000000000,-104.625000000000000,1
12,15793,59225,47.375000000000000,-104.625000000000000,1
13,15794,59226,45.375000000000000,-104.625000000000000,1
14,15795,59227,43.375000000000000,-104.625000000000000,1
15,15796,59228,41.375000000000000,-104.625000000000000,1
16,15797,59229,39.375000000000000,-104.625000000000000,1
17,15798,59230,37.375000000000000,-104.625000000000000,1
18,15799,59231,35.375000000000000,-104.625000000000000,1
19,15800,59232,33.375000000000000,-104.625000000000000,1
20,15801,59233,31.375000000000000,-104.625000000000000,1
21,15802,59234,29.375000000000000,-104.625000000000000,1
22,15813,59282,49.375000000000000,-104.375000000000000,1
23,15814,59283,47.375000000000000,-104.375000000000000,1
24,15815,59284,45.375000000000000,-104.375000000000000,1
25,15816,59285,43.375000000000000,-104.375000000000000,1
26,15817,59286,41.375000000000000,-104.375000000000000,1
27,15818,59287,39.375000000000000,-104.375000000000000,1
28,15819,59288,37.375000000000000,-104.375000000000000,1
29,15820,59289,35.375000000000000,-104.375000000000000,1
30,15821,59290,33.375000000000000,-104.375000000000000,1
31,15822,59291,31.375000000000000,-104.375000000000000,1
32,15823,59292,29.375000000000000,-104.375000000000000,1
33,15834,59340,49.375000000000000,-104.125000000000000,1
34,15835,59341,47.375000000000000,-104.125000000000000,1
35,15836,59342,45.375000000000000,-104.125000000000000,1
36,15837,59343,43.375000000000000,-104.125000000000000,1
37,15838,59344,41.375000000000000,-104.125000000000000,1
38,15839,59345,39.375000000000000,-104.125000000000000,1
39,15840,59346,37.375000000000000,-104.125000000000000,1
40,15841,59347,35.375000000000000,-104.125000000000000,1
41,15842,59348,33.375000000000000,-104.125000000000000,1
42,15843,59349,31.375000000000000,-104.125000000000000,1
43,15844,59350,29.375000000000000,-104.125000000000000,1
44,15855,59398,49.375000000000000,-103.875000000000000,1
45,15856,59399,47.375000000000000,-103.875000000000000,1
46,15857,59400,45.375000000000000,-103.875000000000000,1
47,15858,59401,43.375000000000000,-103.875000000000000,1
48,15859,59402,41.375000000000000,-103.875000000000000,1
49,15860,59403,39.375000000000000,-103.875000000000000,1
50,15861,59404,37.375000000000000,-103.875000000000000,1
51,15862,59405,35.375000000000000,-103.875000000000000,1
52,15863,59406,33.375000000000000,-103.875000000000000,1
53,15864,59407,31.375000000000000,-103.875000000000000,1
54,15865,59408,29.375000000000000,-103.875000000000000,1
55,15876,59456,49.375000000000000,-103.625000000000000,1
56,15877,59457,47.375000000000000,-103.625000000000000,1
57,15878,59458,45.375000000000000,-103.625000000000000,1
58,15879,59459,43.375000000000000,-103.625000000000000,1
59,15880,59460,41.375000000000000,-103.625000000000000,1
