FID,OBJECTID,field,Var1,Var2,value
0,17103,63806,49.375000000000000,-84.875000000000000,1
1,17104,63808,45.375000000000000,-84.875000000000000,1
2,17105,63809,43.375000000000000,-84.875000000000000,1
3,17106,63810,41.375000000000000,-84.875000000000000,1
4,17107,63811,39.375000000000000,-84.875000000000000,1
5,17108,63812,37.375000000000000,-84.875000000000000,1
6,17109,63813,35.375000000000000,-84.875000000000000,1
7,17110,63814,33.375000000000000,-84.875000000000000,1
8,17111,63815,31.375000000000000,-84.875000000000000,1
9,17118,63864,49.375000000000000,-84.625000000000000,1
10,17119,63866,45.375000000000000,-84.625000000000000,1
11,17120,63867,43.375000000000000,-84.625000000000000,1
12,17121,63868,41.375000000000000,-84.625000000000000,1
13,17122,63869,39.375000000000000,-84.625000000000000,1
14,17123,63870,37.375000000000000,-84.625000000000000,1
15,17124,63871,35.375000000000000,-84.625000000000000,1
16,17125,63872,33.375000000000000,-84.625000000000000,1
17,17126,63873,31.375000000000000,-84.625000000000000,1
18,17133,63922,49.375000000000000,-84.375000000000000,1
19,17134,63924,45.375000000000000,-84.375000000000000,1
20,17135,63925,43.375000000000000,-84.375000000000000,1
21,17136,63926,41.375000000000000,-84.375000000000000,1
22,17137,63927,39.375000000000000,-84.375000000000000,1
23,17138,63928,37.375000000000000,-84.375000000000000,1
24,17139,63929,35.375000000000000,-84.375000000000000,1
25,17140,63930,33.375000000000000,-84.375000000000000,1
26,17141,63931,31.375000000000000,-84.375000000000000,1
27,17148,63980,49.375000000000000,-84.125000000000000,1
28,17149,63982,45.375000000000000,-84.125000000000000,1
29,17150,63983,43.375000000000000,-84.125000000000000,1
30,17151,63984,41.375000000000000,-84.125000000000000,1
31,17152,63985,39.375000000000000,-84.125000000000000,1
32,17153,63986,37.375000000000000,-84.125000000000000,1
33,17154,63987,35.375000000000000,-84.125000000000000,1
34,17155,63988,33.375000000000000,-84.125000000000000,1
35,17156,63989,31.375000000000000,-84.125000000000000,1
36,17163,64038,49.375000000000000,-83.875000000000000,1
37,17164,64040,45.375000000000000,-83.875000000000000,1
38,17165,64041,43.375000000000000,-83.875000000000000,1
39,17166,64042,41.375000000000000,-83.875000000000000,1
40,17167,64043,39.375000000000000,-83.875000000000000,1
41,17168,64044,37.375000000000000,-83.875000000000000,1
42,17169,64045,35.375000000000000,-83.875000000000000,1
43,17170,64046,33.375000000000000,-83.875000000000000,1
44,17171,64047,31.375000000000000,-83.875000000000000,1
45,17177,64096,49.375000000000000,-83.625000000000000,1
46,17178,64097,47.375000000000000,-83.625000000000000,1
47,17179,64101,39.375000000000000,-83.625000000000000,1
48,17180,64102,37.375000000000000,-83.625000000000000,1
49,17181,64103,35.375000000000000,-83.625000000000000,1
50,17182,64104,33.375000000000000,-83.625000000000000,1
51,17183,64105,31.375000000000000,-83.625000000000000,1
52,17186,64154,49.375000000000000,-83.375000000000000,1
53,17187,64155,47.375000000000000,-83.375000000000000,1
54,17188,64159,39.375000000000000,-83.375000000000000,1
55,17189,64160,37.375000000000000,-83.375000000000000,1
56,17190,64161,35.375000000000000,-83.375000000000000,1
57,17191,64162,33.375000000000000,-83.375000000000000,1
58,17192,64163,31.375000000000000,-83.375000000000000,1
59,17195,64212,49.375000000000000,-83.125000000000000,1
60,17196,64213,47.375000000000000,-83.125000000000000,1
61,17197,64217,39.375000000000000,-83.125000000000000,1
62,17198,64218,37.375000000000000,-83.125000000000000,1
63,17199,64219,35.375000000000000,-83.125000000000000,1
64,17200,64220,33.375000000000000,-83.125000000000000,1
65,17201,64221,31.375000000000000,-83.125000000000000,1
66,17202,64222,29.375000000000000,-83.125000000000000,1
67,17205,64270,49.375000000000000,-82.875000000000000,1
68,17206,64271,47.375000000000000,-82.875000000000000,1
69,17207,64275,39.375000000000000,-82.875000000000000,1
70,17208,64276,37.375000000000000,-82.875000000000000,1
71,17209,64277,35.375000000000000,-82.875000000000000,1
72,17210,64278,33.375000000000000,-82.875000000000000,1
73,17211,64279,31.375000000000000,-82.875000000000000,1
74,17212,64280,29.375000000000000,-82.875000000000000,1
75,17215,64328,49.375000000000000,-82.625000000000000,1
76,17216,64329,47.375000000000000,-82.625000000000000,1
77,17217,64333,39.375000000000000,-82.625000000000000,1
78,17218,64334,37.375000000000000,-82.625000000000000,1
79,17219,64335,35.375000000000000,-82.625000000000000,1
80,17220,64336,33.375000000000000,-82.625000000000000,1
81,17221,64337,31.375000000000000,-82.625000000000000,1
82,17222,64338,29.375000000000000,-82.625000000000000,1
83,17225,64386,49.375000000000000,-82.375000000000000,1
84,17226,64387,47.375000000000000,-82.375000000000000,1
85,17227,64391,39.375000000000000,-82.375000000000000,1
86,17228,64392,37.375000000000000,-82.375000000000000,1
87,17229,64393,35.375000000000000,-82.375000000000000,1
88,17230,64394,33.375000000000000,-82.375000000000000,1
89,17231,64395,31.375000000000000,-82.375000000000000,1
90,17232,64396,29.375000000000000,-82.375000000000000,1
91,17233,64397,27.375000000000000,-82.375000000000000,1
92,17235,64444,49.375000000000000,-82.125000000000000,1
93,17236,64445,47.375000000000000,-82.125000000000000,1
94,17237,64449,39.375000000000000,-82.125000000000000,1
95,17238,64450,37.375000000000000,-82.125000000000000,1
96,17239,64451,35.375000000000000,-82.125000000000000,1
97,17240,64452,33.375000000000000,-82.125000000000000,1
98,17241,64453,31.375000000000000,-82.125000000000000,1
99,17242,64454,29.375000000000000,-82.125000000000000,1
100,17243,64455,27.375000000000000,-82.125000000000000,1
101,17245,64502,49.375000000000000,-81.875000000000000,1
102,17246,64503,47.375000000000000,-81.875000000000000,1
103,17247,64507,39.375000000000000,-81.875000000000000,1
104,17248,64508,37.375000000000000,-81.875000000000000,1
105,17249,64509,35.375000000000000,-81.875000000000000,1
106,17250,64510,33.375000000000000,-81.875000000000000,1
107,17251,64511,31.375000000000000,-81.875000000000000,1
108,17252,64512,29.375000000000000,-81.875000000000000,1
109,17253,64513,27.375000000000000,-81.875000000000000,1
110,17255,64560,49.375000000000000,-81.625000000000000,1
111,17256,64561,47.375000000000000,-81.625000000000000,1
112,17257,64565,39.375000000000000,-81.625000000000000,1
113,17258,64566,37.375000000000000,-81.625000000000000,1
114,17259,64567,35.375000000000000,-81.625000000000000,1
115,17260,64568,33.375000000000000,-81.625000000000000,1
116,17261,64569,31.375000000000000,-81.625000000000000,1
117,17262,64570,29.375000000000000,-81.625000000000000,1
118,17263,64571,27.375000000000000,-81.625000000000000,1
119,17265,64618,49.375000000000000,-81.375000000000000,1
120,17266,64619,47.375000000000000,-81.375000000000000,1
121,17267,64623,39.375000000000000,-81.375000000000000,1
122,17268,64624,37.375000000000000,-81.375000000000000,1
123,17269,64625,35.375000000000000,-81.375000000000000,1
124,17270,64626,33.375000000000000,-81.375000000000000,1
125,17271,64627,31.375000000000000,-81.375000000000000,1
126,17272,64628,29.375000000000000,-81.375000000000000,1
127,17273,64629,27.375000000000000,-81.375000000000000,1
128,17274,64676,49.375000000000000,-81.125000000000000,1
129,17275,64677,47.375000000000000,-81.125000000000000,1
130,17276,64678,45.375000000000000,-81.125000000000000,1
131,17277,64679,43.375000000000000,-81.125000000000000,1
132,17278,64680,41.375000000000000,-81.125000000000000,1
133,17279,64681,39.375000000000000,-81.125000000000000,1
134,17280,64682,37.375000000000000,-81.125000000000000,1
135,17281,64683,35.375000000000000,-81.125000000000000,1
136,17285,64734,49.375000000000000,-80.875000000000000,1
137,17286,64735,47.375000000000000,-80.875000000000000,1
138,17287,64736,45.375000000000000,-80.875000000000000,1
139,17288,64737,43.375000000000000,-80.875000000000000,1
140,17289,64738,41.375000000000000,-80.875000000000000,1
141,17290,64739,39.375000000000000,-80.875000000000000,1
142,17291,64740,37.375000000000000,-80.875000000000000,1
143,17292,64741,35.375000000000000,-80.875000000000000,1
144,17296,64792,49.375000000000000,-80.625000000000000,1
