FID,OBJECTID,field,Var1,Var2,value
0,5123,9281,59.375000000000000,40.125000000000000,1
1,5124,9282,57.375000000000000,40.125000000000000,1
2,5125,9283,55.375000000000000,40.125000000000000,1
3,5126,9284,53.375000000000000,40.125000000000000,1
4,5127,9285,51.375000000000000,40.125000000000000,1
5,5152,9339,59.375000000000000,40.375000000000000,1
6,5153,9340,57.375000000000000,40.375000000000000,1
7,5154,9341,55.375000000000000,40.375000000000000,1
8,5155,9342,53.375000000000000,40.375000000000000,1
9,5156,9343,51.375000000000000,40.375000000000000,1
10,5180,9397,59.375000000000000,40.625000000000000,1
11,5181,9398,57.375000000000000,40.625000000000000,1
12,5182,9399,55.375000000000000,40.625000000000000,1
13,5183,9400,53.375000000000000,40.625000000000000,1
14,5184,9401,51.375000000000000,40.625000000000000,1
15,5207,9455,59.375000000000000,40.875000000000000,1
16,5208,9456,57.375000000000000,40.875000000000000,1
17,5209,9457,55.375000000000000,40.875000000000000,1
18,5210,9458,53.375000000000000,40.875000000000000,1
19,5211,9459,51.375000000000000,40.875000000000000,1
20,5233,9513,59.375000000000000,41.125000000000000,1
21,5234,9514,57.375000000000000,41.125000000000000,1
22,5235,9515,55.375000000000000,41.125000000000000,1
23,5236,9516,53.375000000000000,41.125000000000000,1
24,5237,9517,51.375000000000000,41.125000000000000,1
25,5259,9571,59.375000000000000,41.375000000000000,1
26,5260,9572,57.375000000000000,41.375000000000000,1
27,5261,9573,55.375000000000000,41.375000000000000,1
28,5262,9574,53.375000000000000,41.375000000000000,1
29,5263,9575,51.375000000000000,41.375000000000000,1
30,5287,9629,59.375000000000000,41.625000000000000,1
31,5288,9630,57.375000000000000,41.625000000000000,1
32,5289,9631,55.375000000000000,41.625000000000000,1
33,5290,9632,53.375000000000000,41.625000000000000,1
34,5291,9633,51.375000000000000,41.625000000000000,1
35,5316,9687,59.375000000000000,41.875000000000000,1
36,5317,9688,57.375000000000000,41.875000000000000,1
37,5318,9689,55.375000000000000,41.875000000000000,1
38,5319,9690,53.375000000000000,41.875000000000000,1
39,5320,9691,51.375000000000000,41.875000000000000,1
40,5345,9745,59.375000000000000,42.125000000000000,1
41,5346,9746,57.375000000000000,42.125000000000000,1
42,5347,9747,55.375000000000000,42.125000000000000,1
43,5348,9748,53.375000000000000,42.125000000000000,1
44,5349,9749,51.375000000000000,42.125000000000000,1
45,5374,9803,59.375000000000000,42.375000000000000,1
46,5375,9804,57.375000000000000,42.375000000000000,1
47,5376,9805,55.375000000000000,42.375000000000000,1
48,5377,9806,53.375000000000000,42.375000000000000,1
49,5378,9807,51.375000000000000,42.375000000000000,1
50,5402,9861,59.375000000000000,42.625000000000000,1
51,5403,9862,57.375000000000000,42.625000000000000,1
52,5404,9863,55.375000000000000,42.625000000000000,1
53,5405,9864,53.375000000000000,42.625000000000000,1
54,5406,9865,51.375000000000000,42.625000000000000,1
55,5430,9919,59.375000000000000,42.875000000000000,1
56,5431,9920,57.375000000000000,42.875000000000000,1
57,5432,9921,55.375000000000000,42.875000000000000,1
58,5433,9922,53.375000000000000,42.875000000000000,1
