FID,OBJECTID,field,Var1,Var2,value
0,11597,26432,-22.625000000000000,113.875000000000000,1
1,11598,26433,-24.625000000000000,113.875000000000000,1
2,11599,26434,-26.625000000000000,113.875000000000000,1
3,11622,26490,-22.625000000000000,114.125000000000000,1
4,11623,26491,-24.625000000000000,114.125000000000000,1
5,11624,26492,-26.625000000000000,114.125000000000000,1
6,11647,26548,-22.625000000000000,114.375000000000000,1
7,11648,26549,-24.625000000000000,114.375000000000000,1
8,11649,26550,-26.625000000000000,114.375000000000000,1
9,11672,26606,-22.625000000000000,114.625000000000000,1
10,11673,26607,-24.625000000000000,114.625000000000000,1
11,11674,26608,-26.625000000000000,114.625000000000000,1
12,11675,26609,-28.625000000000000,114.625000000000000,1
13,11698,26664,-22.625000000000000,114.875000000000000,1
14,11699,26665,-24.625000000000000,114.875000000000000,1
15,11700,26666,-26.625000000000000,114.875000000000000,1
16,11701,26667,-28.625000000000000,114.875000000000000,1
17,11724,26722,-22.625000000000000,115.125000000000000,1
18,11725,26723,-24.625000000000000,115.125000000000000,1
19,11726,26724,-26.625000000000000,115.125000000000000,1
20,11727,26725,-28.625000000000000,115.125000000000000,1
21,11751,26780,-22.625000000000000,115.375000000000000,1
22,11752,26781,-24.625000000000000,115.375000000000000,1
23,11753,26782,-26.625000000000000,115.375000000000000,1
24,11754,26783,-28.625000000000000,115.375000000000000,1
25,11778,26838,-22.625000000000000,115.625000000000000,1
26,11779,26839,-24.625000000000000,115.625000000000000,1
27,11780,26840,-26.625000000000000,115.625000000000000,1
28,11781,26841,-28.625000000000000,115.625000000000000,1
29,11805,26896,-22.625000000000000,115.875000000000000,1
30,11806,26897,-24.625000000000000,115.875000000000000,1
31,11807,26898,-26.625000000000000,115.875000000000000,1
32,11808,26899,-28.625000000000000,115.875000000000000,1
33,11832,26954,-22.625000000000000,116.125000000000000,1
34,11833,26955,-24.625000000000000,116.125000000000000,1
35,11834,26956,-26.625000000000000,116.125000000000000,1
36,11835,26957,-28.625000000000000,116.125000000000000,1
37,11859,27012,-22.625000000000000,116.375000000000000,1
38,11860,27013,-24.625000000000000,116.375000000000000,1
39,11861,27014,-26.625000000000000,116.375000000000000,1
40,11862,27015,-28.625000000000000,116.375000000000000,1
41,11887,27070,-22.625000000000000,116.625000000000000,1
42,11888,27071,-24.625000000000000,116.625000000000000,1
43,11889,27072,-26.625000000000000,116.625000000000000,1
44,11890,27073,-28.625000000000000,116.625000000000000,1
45,11915,27128,-22.625000000000000,116.875000000000000,1
46,11916,27129,-24.625000000000000,116.875000000000000,1
47,11917,27130,-26.625000000000000,116.875000000000000,1
48,11918,27131,-28.625000000000000,116.875000000000000,1
49,11943,27186,-22.625000000000000,117.125000000000000,1
50,11944,27187,-24.625000000000000,117.125000000000000,1
51,11945,27188,-26.625000000000000,117.125000000000000,1
52,11946,27189,-28.625000000000000,117.125000000000000,1
53,11971,27244,-22.625000000000000,117.375000000000000,1
54,11972,27245,-24.625000000000000,117.375000000000000,1
55,11973,27246,-26.625000000000000,117.375000000000000,1
56,11974,27247,-28.625000000000000,117.375000000000000,1
57,11998,27302,-22.625000000000000,117.625000000000000,1
58,11999,27303,-24.625000000000000,117.625000000000000,1
59,12000,27304,-26.625000000000000,117.625000000000000,1
60,12001,27305,-28.625000000000000,117.625000000000000,1
61,12024,27360,-22.625000000000000,117.875000000000000,1
62,12025,27361,-24.625000000000000,117.875000000000000,1
63,12026,27362,-26.625000000000000,117.875000000000000,1
64,12027,27363,-28.625000000000000,117.875000000000000,1
65,12050,27418,-22.625000000000000,118.125000000000000,1
66,12051,27419,-24.625000000000000,118.125000000000000,1
67,12052,27420,-26.625000000000000,118.125000000000000,1
68,12053,27421,-28.625000000000000,118.125000000000000,1
69,12076,27476,-22.625000000000000,118.375000000000000,1
70,12077,27477,-24.625000000000000,118.375000000000000,1
71,12078,27478,-26.625000000000000,118.375000000000000,1
72,12079,27479,-28.625000000000000,118.375000000000000,1
73,12101,27534,-22.625000000000000,118.625000000000000,1
74,12102,27535,-24.625000000000000,118.625000000000000,1
75,12103,27536,-26.625000000000000,118.625000000000000,1
76,12104,27537,-28.625000000000000,118.625000000000000,1
77,12123,27591,-20.625000000000000,118.875000000000000,1
78,12124,27592,-22.625000000000000,118.875000000000000,1
79,12125,27593,-24.625000000000000,118.875000000000000,1
80,12126,27594,-26.625000000000000,118.875000000000000,1
81,12127,27595,-28.625000000000000,118.875000000000000,1
82,12146,27649,-20.625000000000000,119.125000000000000,1
83,12147,27650,-22.625000000000000,119.125000000000000,1
84,12148,27651,-24.625000000000000,119.125000000000000,1
85,12149,27652,-26.625000000000000,119.125000000000000,1
86,12150,27653,-28.625000000000000,119.125000000000000,1
87,12168,27707,-20.625000000000000,119.375000000000000,1
88,12169,27708,-22.625000000000000,119.375000000000000,1
89,12170,27709,-24.625000000000000,119.375000000000000,1
90,12171,27710,-26.625000000000000,119.375000000000000,1
91,12172,27711,-28.625000000000000,119.375000000000000,1
92,12191,27765,-20.625000000000000,119.625000000000000,1
93,12192,27766,-22.625000000000000,119.625000000000000,1
94,12193,27767,-24.625000000000000,119.625000000000000,1
95,12194,27768,-26.625000000000000,119.625000000000000,1
96,12195,27769,-28.625000000000000,119.625000000000000,1
97,12214,27823,-20.625000000000000,119.875000000000000,1
98,12215,27824,-22.625000000000000,119.875000000000000,1
99,12216,27825,-24.625000000000000,119.875000000000000,1
100,12217,27826,-26.625000000000000,119.875000000000000,1
101,12218,27827,-28.625000000000000,119.875000000000000,1
102,12238,27881,-20.625000000000000,120.125000000000000,1
103,12239,27882,-22.625000000000000,120.125000000000000,1
104,12240,27883,-24.625000000000000,120.125000000000000,1
105,12241,27884,-26.625000000000000,120.125000000000000,1
106,12242,27885,-28.625000000000000,120.125000000000000,1
107,12262,27939,-20.625000000000000,120.375000000000000,1
108,12263,27940,-22.625000000000000,120.375000000000000,1
109,12264,27941,-24.625000000000000,120.375000000000000,1
110,12265,27942,-26.625000000000000,120.375000000000000,1
111,12266,27943,-28.625000000000000,120.375000000000000,1
112,12285,27997,-20.625000000000000,120.625000000000000,1
113,12286,27998,-22.625000000000000,120.625000000000000,1
114,12287,27999,-24.625000000000000,120.625000000000000,1
115,12288,28000,-26.625000000000000,120.625000000000000,1
116,12289,28001,-28.625000000000000,120.625000000000000,1
117,12306,28055,-20.625000000000000,120.875000000000000,1
118,12307,28056,-22.625000000000000,120.875000000000000,1
119,12308,28057,-24.625000000000000,120.875000000000000,1
120,12309,28058,-26.625000000000000,120.875000000000000,1
121,12310,28059,-28.625000000000000,120.875000000000000,1
122,12327,28113,-20.625000000000000,121.125000000000000,1
123,12328,28114,-22.625000000000000,121.125000000000000,1
124,12329,28115,-24.625000000000000,121.125000000000000,1
125,12330,28116,-26.625000000000000,121.125000000000000,1
126,12331,28117,-28.625000000000000,121.125000000000000,1
127,12345,28171,-20.625000000000000,121.375000000000000,1
128,12346,28172,-22.625000000000000,121.375000000000000,1
129,12347,28173,-24.625000000000000,121.375000000000000,1
130,12348,28174,-26.625000000000000,121.375000000000000,1
131,12349,28175,-28.625000000000000,121.375000000000000,1
132,12364,28229,-20.625000000000000,121.625000000000000,1
133,12365,28230,-22.625000000000000,121.625000000000000,1
134,12366,28231,-24.625000000000000,121.625000000000000,1
135,12367,28232,-26.625000000000000,121.625000000000000,1
136,12368,28233,-28.625000000000000,121.625000000000000,1
137,12383,28286,-18.625000000000000,121.875000000000000,1
138,12384,28287,-20.625000000000000,121.875000000000000,1
139,12385,28288,-22.625000000000000,121.875000000000000,1
140,12386,28289,-24.625000000000000,121.875000000000000,1
141,12387,28290,-26.625000000000000,121.875000000000000,1
142,12388,28291,-28.625000000000000,121.875000000000000,1
143,12402,28344,-18.625000000000000,122.125000000000000,1
144,12403,28345,-20.625000000000000,122.125000000000000,1
145,12404,28346,-22.625000000000000,122.125000000000000,1
146,12405,28347,-24.625000000000000,122.125000000000000,1
147,12406,28348,-26.625000000000000,122.125000000000000,1
148,12407,28349,-28.625000000000000,122.125000000000000,1
149,12420,28402,-18.625000000000000,122.375000000000000,1
150,12421,28403,-20.625000000000000,122.375000000000000,1
151,12422,28404,-22.625000000000000,122.375000000000000,1
152,12423,28405,-24.625000000000000,122.375000000000000,1
153,12424,28406,-26.625000000000000,122.375000000000000,1
154,12425,28407,-28.625000000000000,122.375000000000000,1
155,12438,28460,-18.625000000000000,122.625000000000000,1
156,12439,28461,-20.625000000000000,122.625000000000000,1
157,12440,28462,-22.625000000000000,122.625000000000000,1
158,12441,28463,-24.625000000000000,122.625000000000000,1
159,12442,28464,-26.625000000000000,122.625000000000000,1
160,12443,28465,-28.625000000000000,122.625000000000000,1
161,12458,28517,-16.625000000000000,122.875000000000000,1
162,12459,28518,-18.625000000000000,122.875000000000000,1
163,12460,28519,-20.625000000000000,122.875000000000000,1
164,12461,28520,-22.625000000000000,122.875000000000000,1
165,12462,28521,-24.625000000000000,122.875000000000000,1
166,12463,28522,-26.625000000000000,122.875000000000000,1
167,12464,28523,-28.625000000000000,122.875000000000000,1
168,12479,28576,-18.625000000000000,123.125000000000000,1
169,12480,28577,-20.625000000000000,123.125000000000000,1
170,12481,28578,-22.625000000000000,123.125000000000000,1
171,12482,28579,-24.625000000000000,123.125000000000000,1
172,12483,28580,-26.625000000000000,123.125000000000000,1
173,12484,28581,-28.625000000000000,123.125000000000000,1
174,12497,28634,-18.625000000000000,123.375000000000000,1
175,12498,28635,-20.625000000000000,123.375000000000000,1
176,12499,28636,-22.625000000000000,123.375000000000000,1
177,12500,28637,-24.625000000000000,123.375000000000000,1
178,12501,28638,-26.625000000000000,123.375000000000000,1
179,12502,28639,-28.625000000000000,123.375000000000000,1
180,12515,28691,-16.625000000000000,123.625000000000000,1
181,12516,28692,-18.625000000000000,123.625000000000000,1
182,12517,28693,-20.625000000000000,123.625000000000000,1
183,12518,28694,-22.625000000000000,123.625000000000000,1
184,12519,28695,-24.625000000000000,123.625000000000000,1
185,12520,28696,-26.625000000000000,123.625000000000000,1
186,12521,28697,-28.625000000000000,123.625000000000000,1
187,12534,28749,-16.625000000000000,123.875000000000000,1
188,12535,28750,-18.625000000000000,123.875000000000000,1
189,12536,28751,-20.625000000000000,123.875000000000000,1
190,12537,28752,-22.625000000000000,123.875000000000000,1
191,12538,28753,-24.625000000000000,123.875000000000000,1
192,12539,28754,-26.625000000000000,123.875000000000000,1
193,12540,28755,-28.625000000000000,123.875000000000000,1
194,12553,28807,-16.625000000000000,124.125000000000000,1
195,12554,28808,-18.625000000000000,124.125000000000000,1
196,12555,28809,-20.625000000000000,124.125000000000000,1
197,12556,28810,-22.625000000000000,124.125000000000000,1
198,12557,28811,-24.625000000000000,124.125000000000000,1
199,12558,28812,-26.625000000000000,124.125000000000000,1
200,12559,28813,-28.625000000000000,124.125000000000000,1
201,12573,28865,-16.625000000000000,124.375000000000000,1
202,12574,28866,-18.625000000000000,124.375000000000000,1
203,12575,28867,-20.625000000000000,124.375000000000000,1
204,12576,28868,-22.625000000000000,124.375000000000000,1
205,12577,28869,-24.625000000000000,124.375000000000000,1
206,12578,28870,-26.625000000000000,124.375000000000000,1
207,12579,28871,-28.625000000000000,124.375000000000000,1
208,12593,28923,-16.625000000000000,124.625000000000000,1
209,12594,28924,-18.625000000000000,124.625000000000000,1
210,12595,28925,-20.625000000000000,124.625000000000000,1
211,12596,28926,-22.625000000000000,124.625000000000000,1
212,12597,28927,-24.625000000000000,124.625000000000000,1
213,12598,28928,-26.625000000000000,124.625000000000000,1
