FID,OBJECTID,field,Var1,Var2,value
0,20504,71951,-0.625000000000000,-49.875000000000000,1
1,20505,71952,-2.625000000000000,-49.875000000000000,1
2,20506,71953,-4.625000000000000,-49.875000000000000,1
3,20507,71954,-6.625000000000000,-49.875000000000000,1
4,20508,71955,-8.625000000000000,-49.875000000000000,1
5,20509,71956,-10.625000000000000,-49.875000000000000,1
6,20510,71957,-12.625000000000000,-49.875000000000000,1
7,20511,71958,-14.625000000000000,-49.875000000000000,1
8,20512,71959,-16.625000000000000,-49.875000000000000,1
9,20513,71960,-18.625000000000000,-49.875000000000000,1
10,20519,72009,-0.625000000000000,-49.625000000000000,1
11,20520,72010,-2.625000000000000,-49.625000000000000,1
12,20521,72011,-4.625000000000000,-49.625000000000000,1
13,20522,72012,-6.625000000000000,-49.625000000000000,1
14,20523,72013,-8.625000000000000,-49.625000000000000,1
15,20524,72014,-10.625000000000000,-49.625000000000000,1
16,20525,72015,-12.625000000000000,-49.625000000000000,1
17,20526,72016,-14.625000000000000,-49.625000000000000,1
18,20527,72017,-16.625000000000000,-49.625000000000000,1
19,20528,72018,-18.625000000000000,-49.625000000000000,1
20,20534,72067,-0.625000000000000,-49.375000000000000,1
21,20535,72068,-2.625000000000000,-49.375000000000000,1
22,20536,72069,-4.625000000000000,-49.375000000000000,1
23,20537,72070,-6.625000000000000,-49.375000000000000,1
24,20538,72071,-8.625000000000000,-49.375000000000000,1
25,20539,72072,-10.625000000000000,-49.375000000000000,1
26,20540,72073,-12.625000000000000,-49.375000000000000,1
27,20541,72074,-14.625000000000000,-49.375000000000000,1
28,20542,72075,-16.625000000000000,-49.375000000000000,1
29,20543,72076,-18.625000000000000,-49.375000000000000,1
30,20549,72125,-0.625000000000000,-49.125000000000000,1
31,20550,72126,-2.625000000000000,-49.125000000000000,1
32,20551,72127,-4.625000000000000,-49.125000000000000,1
33,20552,72128,-6.625000000000000,-49.125000000000000,1
34,20553,72129,-8.625000000000000,-49.125000000000000,1
35,20554,72130,-10.625000000000000,-49.125000000000000,1
36,20555,72131,-12.625000000000000,-49.125000000000000,1
37,20556,72132,-14.625000000000000,-49.125000000000000,1
38,20557,72133,-16.625000000000000,-49.125000000000000,1
39,20558,72134,-18.625000000000000,-49.125000000000000,1
40,20564,72183,-0.625000000000000,-48.875000000000000,1
41,20565,72184,-2.625000000000000,-48.875000000000000,1
