FID,OBJECTID,field,Var1,Var2,value
0,1036,2765,-16.625000000000000,11.875000000000000,1
1,1065,2823,-16.625000000000000,12.125000000000000,1
2,1093,2880,-14.625000000000000,12.375000000000000,1
3,1094,2881,-16.625000000000000,12.375000000000000,1
4,1095,2882,-18.625000000000000,12.375000000000000,1
5,1122,2938,-14.625000000000000,12.625000000000000,1
6,1123,2939,-16.625000000000000,12.625000000000000,1
7,1124,2940,-18.625000000000000,12.625000000000000,1
8,1151,2996,-14.625000000000000,12.875000000000000,1
9,1152,2997,-16.625000000000000,12.875000000000000,1
10,1153,2998,-18.625000000000000,12.875000000000000,1
11,1182,3054,-14.625000000000000,13.125000000000000,1
12,1183,3055,-16.625000000000000,13.125000000000000,1
13,1184,3056,-18.625000000000000,13.125000000000000,1
14,1213,3112,-14.625000000000000,13.375000000000000,1
15,1214,3113,-16.625000000000000,13.375000000000000,1
16,1215,3114,-18.625000000000000,13.375000000000000,1
17,1244,3170,-14.625000000000000,13.625000000000000,1
18,1245,3171,-16.625000000000000,13.625000000000000,1
19,1246,3172,-18.625000000000000,13.625000000000000,1
20,1277,3227,-12.625000000000000,13.875000000000000,1
21,1278,3228,-14.625000000000000,13.875000000000000,1
22,1279,3229,-16.625000000000000,13.875000000000000,1
23,1280,3230,-18.625000000000000,13.875000000000000,1
24,1281,3231,-20.625000000000000,13.875000000000000,1
25,1312,3285,-12.625000000000000,14.125000000000000,1
26,1313,3286,-14.625000000000000,14.125000000000000,1
27,1314,3287,-16.625000000000000,14.125000000000000,1
28,1315,3288,-18.625000000000000,14.125000000000000,1
29,1316,3289,-20.625000000000000,14.125000000000000,1
30,1347,3343,-12.625000000000000,14.375000000000000,1
31,1348,3344,-14.625000000000000,14.375000000000000,1
32,1349,3345,-16.625000000000000,14.375000000000000,1
33,1350,3346,-18.625000000000000,14.375000000000000,1
34,1351,3347,-20.625000000000000,14.375000000000000,1
35,1382,3401,-12.625000000000000,14.625000000000000,1
36,1383,3402,-14.625000000000000,14.625000000000000,1
37,1384,3403,-16.625000000000000,14.625000000000000,1
38,1385,3404,-18.625000000000000,14.625000000000000,1
39,1386,3405,-20.625000000000000,14.625000000000000,1
40,1387,3406,-22.625000000000000,14.625000000000000,1
41,1418,3459,-12.625000000000000,14.875000000000000,1
42,1419,3460,-14.625000000000000,14.875000000000000,1
43,1420,3461,-16.625000000000000,14.875000000000000,1
44,1421,3462,-18.625000000000000,14.875000000000000,1
45,1422,3463,-20.625000000000000,14.875000000000000,1
46,1423,3464,-22.625000000000000,14.875000000000000,1
47,1424,3465,-24.625000000000000,14.875000000000000,1
48,1454,3517,-12.625000000000000,15.125000000000000,1
49,1455,3518,-14.625000000000000,15.125000000000000,1
50,1456,3519,-16.625000000000000,15.125000000000000,1
51,1457,3520,-18.625000000000000,15.125000000000000,1
52,1458,3521,-20.625000000000000,15.125000000000000,1
53,1459,3522,-22.625000000000000,15.125000000000000,1
54,1460,3523,-24.625000000000000,15.125000000000000,1
55,1490,3575,-12.625000000000000,15.375000000000000,1
56,1491,3576,-14.625000000000000,15.375000000000000,1
57,1492,3577,-16.625000000000000,15.375000000000000,1
58,1493,3578,-18.625000000000000,15.375000000000000,1
59,1494,3579,-20.625000000000000,15.375000000000000,1
60,1495,3580,-22.625000000000000,15.375000000000000,1
61,1496,3581,-24.625000000000000,15.375000000000000,1
62,1526,3633,-12.625000000000000,15.625000000000000,1
63,1527,3634,-14.625000000000000,15.625000000000000,1
64,1528,3635,-16.625000000000000,15.625000000000000,1
65,1529,3636,-18.625000000000000,15.625000000000000,1
66,1530,3637,-20.625000000000000,15.625000000000000,1
67,1531,3638,-22.625000000000000,15.625000000000000,1
68,1532,3639,-24.625000000000000,15.625000000000000,1
69,1562,3691,-12.625000000000000,15.875000000000000,1
70,1563,3692,-14.625000000000000,15.875000000000000,1
71,1564,3693,-16.625000000000000,15.875000000000000,1
72,1565,3694,-18.625000000000000,15.875000000000000,1
73,1566,3695,-20.625000000000000,15.875000000000000,1
74,1567,3696,-22.625000000000000,15.875000000000000,1
75,1568,3697,-24.625000000000000,15.875000000000000,1
76,1598,3749,-12.625000000000000,16.125000000000000,1
77,1599,3750,-14.625000000000000,16.125000000000000,1
78,1600,3751,-16.625000000000000,16.125000000000000,1
79,1601,3752,-18.625000000000000,16.125000000000000,1
80,1602,3753,-20.625000000000000,16.125000000000000,1
81,1603,3754,-22.625000000000000,16.125000000000000,1
82,1604,3755,-24.625000000000000,16.125000000000000,1
83,1632,3807,-12.625000000000000,16.375000000000000,1
84,1633,3808,-14.625000000000000,16.375000000000000,1
85,1634,3809,-16.625000000000000,16.375000000000000,1
86,1635,3810,-18.625000000000000,16.375000000000000,1
87,1636,3811,-20.625000000000000,16.375000000000000,1
88,1637,3812,-22.625000000000000,16.375000000000000,1
89,1638,3813,-24.625000000000000,16.375000000000000,1
90,1639,3814,-26.625000000000000,16.375000000000000,1
91,1667,3865,-12.625000000000000,16.625000000000000,1
92,1668,3866,-14.625000000000000,16.625000000000000,1
93,1669,3867,-16.625000000000000,16.625000000000000,1
94,1670,3868,-18.625000000000000,16.625000000000000,1
95,1671,3869,-20.625000000000000,16.625000000000000,1
96,1672,3870,-22.625000000000000,16.625000000000000,1
97,1673,3871,-24.625000000000000,16.625000000000000,1
98,1674,3872,-26.625000000000000,16.625000000000000,1
99,1675,3873,-28.625000000000000,16.625000000000000,1
100,1703,3923,-12.625000000000000,16.875000000000000,1
101,1704,3924,-14.625000000000000,16.875000000000000,1
102,1705,3925,-16.625000000000000,16.875000000000000,1
103,1706,3926,-18.625000000000000,16.875000000000000,1
