FID,OBJECTID,field,Var1,Var2,value
0,10,16,29.375000000000000,0.125000000000000,1
1,11,17,27.375000000000000,0.125000000000000,1
2,12,18,25.375000000000000,0.125000000000000,1
3,13,19,23.375000000000000,0.125000000000000,1
4,14,20,21.375000000000000,0.125000000000000,1
5,15,21,19.375000000000000,0.125000000000000,1
6,16,22,17.375000000000000,0.125000000000000,1
7,17,23,15.375000000000000,0.125000000000000,1
8,30,74,29.375000000000000,0.375000000000000,1
9,31,75,27.375000000000000,0.375000000000000,1
10,32,76,25.375000000000000,0.375000000000000,1
11,33,77,23.375000000000000,0.375000000000000,1
12,34,78,21.375000000000000,0.375000000000000,1
13,35,79,19.375000000000000,0.375000000000000,1
14,36,80,17.375000000000000,0.375000000000000,1
15,37,81,15.375000000000000,0.375000000000000,1
16,50,132,29.375000000000000,0.625000000000000,1
17,51,133,27.375000000000000,0.625000000000000,1
18,52,134,25.375000000000000,0.625000000000000,1
19,53,135,23.375000000000000,0.625000000000000,1
20,54,136,21.375000000000000,0.625000000000000,1
21,55,137,19.375000000000000,0.625000000000000,1
22,56,138,17.375000000000000,0.625000000000000,1
23,57,139,15.375000000000000,0.625000000000000,1
24,70,190,29.375000000000000,0.875000000000000,1
25,71,191,27.375000000000000,0.875000000000000,1
26,72,192,25.375000000000000,0.875000000000000,1
27,73,193,23.375000000000000,0.875000000000000,1
28,74,194,21.375000000000000,0.875000000000000,1
29,75,195,19.375000000000000,0.875000000000000,1
30,76,196,17.375000000000000,0.875000000000000,1
31,77,197,15.375000000000000,0.875000000000000,1
32,89,248,29.375000000000000,1.125000000000000,1
33,90,249,27.375000000000000,1.125000000000000,1
34,91,250,25.375000000000000,1.125000000000000,1
35,92,251,23.375000000000000,1.125000000000000,1
36,93,252,21.375000000000000,1.125000000000000,1
37,94,253,19.375000000000000,1.125000000000000,1
38,95,254,17.375000000000000,1.125000000000000,1
39,96,255,15.375000000000000,1.125000000000000,1
40,109,306,29.375000000000000,1.375000000000000,1
41,110,307,27.375000000000000,1.375000000000000,1
42,111,308,25.375000000000000,1.375000000000000,1
43,112,309,23.375000000000000,1.375000000000000,1
44,113,310,21.375000000000000,1.375000000000000,1
45,114,311,19.375000000000000,1.375000000000000,1
46,115,312,17.375000000000000,1.375000000000000,1
47,116,313,15.375000000000000,1.375000000000000,1
48,129,364,29.375000000000000,1.625000000000000,1
49,130,365,27.375000000000000,1.625000000000000,1
50,131,366,25.375000000000000,1.625000000000000,1
51,132,367,23.375000000000000,1.625000000000000,1
52,133,368,21.375000000000000,1.625000000000000,1
53,134,369,19.375000000000000,1.625000000000000,1
54,135,370,17.375000000000000,1.625000000000000,1
55,136,371,15.375000000000000,1.625000000000000,1
56,149,422,29.375000000000000,1.875000000000000,1
57,150,423,27.375000000000000,1.875000000000000,1
58,151,424,25.375000000000000,1.875000000000000,1
59,152,425,23.375000000000000,1.875000000000000,1
60,153,426,21.375000000000000,1.875000000000000,1
61,154,427,19.375000000000000,1.875000000000000,1
62,155,428,17.375000000000000,1.875000000000000,1
63,156,429,15.375000000000000,1.875000000000000,1
64,169,480,29.375000000000000,2.125000000000000,1
65,170,481,27.375000000000000,2.125000000000000,1
66,171,482,25.375000000000000,2.125000000000000,1
67,172,483,23.375000000000000,2.125000000000000,1
68,173,484,21.375000000000000,2.125000000000000,1
69,174,485,19.375000000000000,2.125000000000000,1
70,175,486,17.375000000000000,2.125000000000000,1
71,176,487,15.375000000000000,2.125000000000000,1
