FID,OBJECTID,field,Var1,Var2,value
0,11728,26726,-30.625000000000000,115.125000000000000,1
1,11755,26784,-30.625000000000000,115.375000000000000,1
2,11782,26842,-30.625000000000000,115.625000000000000,1
3,11809,26900,-30.625000000000000,115.875000000000000,1
4,11836,26958,-30.625000000000000,116.125000000000000,1
5,11863,27016,-30.625000000000000,116.375000000000000,1
6,11864,27017,-32.625000000000000,116.375000000000000,1
7,11891,27074,-30.625000000000000,116.625000000000000,1
8,11892,27075,-32.625000000000000,116.625000000000000,1
9,11919,27132,-30.625000000000000,116.875000000000000,1
10,11920,27133,-32.625000000000000,116.875000000000000,1
11,11947,27190,-30.625000000000000,117.125000000000000,1
12,11948,27191,-32.625000000000000,117.125000000000000,1
13,11975,27248,-30.625000000000000,117.375000000000000,1
14,11976,27249,-32.625000000000000,117.375000000000000,1
15,12002,27306,-30.625000000000000,117.625000000000000,1
16,12003,27307,-32.625000000000000,117.625000000000000,1
17,12028,27364,-30.625000000000000,117.875000000000000,1
18,12029,27365,-32.625000000000000,117.875000000000000,1
19,12054,27422,-30.625000000000000,118.125000000000000,1
20,12055,27423,-32.625000000000000,118.125000000000000,1
21,12080,27480,-30.625000000000000,118.375000000000000,1
22,12081,27481,-32.625000000000000,118.375000000000000,1
23,12105,27538,-30.625000000000000,118.625000000000000,1
24,12106,27539,-32.625000000000000,118.625000000000000,1
25,12128,27596,-30.625000000000000,118.875000000000000,1
26,12129,27597,-32.625000000000000,118.875000000000000,1
27,12151,27654,-30.625000000000000,119.125000000000000,1
28,12152,27655,-32.625000000000000,119.125000000000000,1
29,12173,27712,-30.625000000000000,119.375000000000000,1
30,12174,27713,-32.625000000000000,119.375000000000000,1
31,12196,27770,-30.625000000000000,119.625000000000000,1
32,12197,27771,-32.625000000000000,119.625000000000000,1
33,12219,27828,-30.625000000000000,119.875000000000000,1
34,12220,27829,-32.625000000000000,119.875000000000000,1
35,12243,27886,-30.625000000000000,120.125000000000000,1
36,12244,27887,-32.625000000000000,120.125000000000000,1
37,12267,27944,-30.625000000000000,120.375000000000000,1
38,12268,27945,-32.625000000000000,120.375000000000000,1
39,12290,28002,-30.625000000000000,120.625000000000000,1
40,12291,28003,-32.625000000000000,120.625000000000000,1
41,12311,28060,-30.625000000000000,120.875000000000000,1
42,12312,28061,-32.625000000000000,120.875000000000000,1
43,12332,28118,-30.625000000000000,121.125000000000000,1
44,12333,28119,-32.625000000000000,121.125000000000000,1
45,12350,28176,-30.625000000000000,121.375000000000000,1
46,12351,28177,-32.625000000000000,121.375000000000000,1
47,12369,28234,-30.625000000000000,121.625000000000000,1
48,12370,28235,-32.625000000000000,121.625000000000000,1
49,12389,28292,-30.625000000000000,121.875000000000000,1
50,12390,28293,-32.625000000000000,121.875000000000000,1
51,12408,28350,-30.625000000000000,122.125000000000000,1
52,12409,28351,-32.625000000000000,122.125000000000000,1
53,12426,28408,-30.625000000000000,122.375000000000000,1
54,12427,28409,-32.625000000000000,122.375000000000000,1
55,12444,28466,-30.625000000000000,122.625000000000000,1
56,12445,28467,-32.625000000000000,122.625000000000000,1
57,12465,28524,-30.625000000000000,122.875000000000000,1
58,12466,28525,-32.625000000000000,122.875000000000000,1
59,12485,28582,-30.625000000000000,123.125000000000000,1
60,12486,28583,-32.625000000000000,123.125000000000000,1
61,12503,28640,-30.625000000000000,123.375000000000000,1
62,12504,28641,-32.625000000000000,123.375000000000000,1
63,12522,28698,-30.625000000000000,123.625000000000000,1
64,12523,28699,-32.625000000000000,123.625000000000000,1
65,12541,28756,-30.625000000000000,123.875000000000000,1
66,12542,28757,-32.625000000000000,123.875000000000000,1
67,12560,28814,-30.625000000000000,124.125000000000000,1
68,12561,28815,-32.625000000000000,124.125000000000000,1
69,12580,28872,-30.625000000000000,124.375000000000000,1
70,12581,28873,-32.625000000000000,124.375000000000000,1
71,12600,28930,-30.625000000000000,124.625000000000000,1
72,12601,28931,-32.625000000000000,124.625000000000000,1
73,12620,28988,-30.625000000000000,124.875000000000000,1
74,12621,28989,-32.625000000000000,124.875000000000000,1
75,12641,29046,-30.625000000000000,125.125000000000000,1
76,12642,29047,-32.625000000000000,125.125000000000000,1
77,12662,29104,-30.625000000000000,125.375000000000000,1
78,12683,29162,-30.625000000000000,125.625000000000000,1
79,12703,29220,-30.625000000000000,125.875000000000000,1
80,12724,29278,-30.625000000000000,126.125000000000000,1
81,12744,29336,-30.625000000000000,126.375000000000000,1
82,12765,29394,-30.625000000000000,126.625000000000000,1
83,12787,29452,-30.625000000000000,126.875000000000000,1
84,12809,29510,-30.625000000000000,127.125000000000000,1
85,12831,29568,-30.625000000000000,127.375000000000000,1
86,12852,29626,-30.625000000000000,127.625000000000000,1
87,12873,29684,-30.625000000000000,127.875000000000000,1
88,12893,29742,-30.625000000000000,128.125000000000000,1
89,12913,29800,-30.625000000000000,128.375000000000000,1
90,12933,29858,-30.625000000000000,128.625000000000000,1
91,12951,29916,-30.625000000000000,128.875000000000000,1
92,12969,29974,-30.625000000000000,129.125000000000000,1
93,12987,30032,-30.625000000000000,129.375000000000000,1
94,13006,30090,-30.625000000000000,129.625000000000000,1
95,13024,30148,-30.625000000000000,129.875000000000000,1
96,13043,30206,-30.625000000000000,130.125000000000000,1
97,13063,30264,-30.625000000000000,130.375000000000000,1
98,13082,30322,-30.625000000000000,130.625000000000000,1
99,13102,30380,-30.625000000000000,130.875000000000000,1
100,13121,30438,-30.625000000000000,131.125000000000000,1
101,13139,30496,-30.625000000000000,131.375000000000000,1
102,13157,30554,-30.625000000000000,131.625000000000000,1
103,13175,30612,-30.625000000000000,131.875000000000000,1
104,13193,30670,-30.625000000000000,132.125000000000000,1
105,13211,30728,-30.625000000000000,132.375000000000000,1
106,13229,30786,-30.625000000000000,132.625000000000000,1
107,13248,30844,-30.625000000000000,132.875000000000000,1
108,13267,30902,-30.625000000000000,133.125000000000000,1
109,13286,30960,-30.625000000000000,133.375000000000000,1
110,13305,31018,-30.625000000000000,133.625000000000000,1
111,13324,31076,-30.625000000000000,133.875000000000000,1
112,13343,31134,-30.625000000000000,134.125000000000000,1
113,13362,31192,-30.625000000000000,134.375000000000000,1
114,13363,31193,-32.625000000000000,134.375000000000000,1
115,13382,31250,-30.625000000000000,134.625000000000000,1
116,13383,31251,-32.625000000000000,134.625000000000000,1
117,13402,31308,-30.625000000000000,134.875000000000000,1
118,13403,31309,-32.625000000000000,134.875000000000000,1
119,13422,31366,-30.625000000000000,135.125000000000000,1
120,13423,31367,-32.625000000000000,135.125000000000000,1
121,13442,31424,-30.625000000000000,135.375000000000000,1
122,13443,31425,-32.625000000000000,135.375000000000000,1
123,13461,31482,-30.625000000000000,135.625000000000000,1
124,13462,31483,-32.625000000000000,135.625000000000000,1
125,13480,31540,-30.625000000000000,135.875000000000000,1
126,13481,31541,-32.625000000000000,135.875000000000000,1
