FID,OBJECTID,field,Var1,Var2,value
0,18078,66871,-48.625000000000000,-71.875000000000000,1
1,18110,66929,-48.625000000000000,-71.625000000000000,1
2,18111,66930,-50.625000000000000,-71.625000000000000,1
3,18140,66986,-46.625000000000000,-71.375000000000000,1
4,18141,66987,-48.625000000000000,-71.375000000000000,1
5,18142,66988,-50.625000000000000,-71.375000000000000,1
6,18179,67044,-46.625000000000000,-71.125000000000000,1
7,18180,67045,-48.625000000000000,-71.125000000000000,1
8,18181,67046,-50.625000000000000,-71.125000000000000,1
9,18218,67101,-44.625000000000000,-70.875000000000000,1
10,18219,67102,-46.625000000000000,-70.875000000000000,1
11,18220,67103,-48.625000000000000,-70.875000000000000,1
12,18221,67104,-50.625000000000000,-70.875000000000000,1
13,18257,67158,-42.625000000000000,-70.625000000000000,1
14,18258,67159,-44.625000000000000,-70.625000000000000,1
15,18259,67160,-46.625000000000000,-70.625000000000000,1
16,18260,67161,-48.625000000000000,-70.625000000000000,1
17,18261,67162,-50.625000000000000,-70.625000000000000,1
18,18296,67216,-42.625000000000000,-70.375000000000000,1
19,18297,67217,-44.625000000000000,-70.375000000000000,1
20,18298,67218,-46.625000000000000,-70.375000000000000,1
21,18299,67219,-48.625000000000000,-70.375000000000000,1
22,18300,67220,-50.625000000000000,-70.375000000000000,1
23,18334,67273,-40.625000000000000,-70.125000000000000,1
24,18335,67274,-42.625000000000000,-70.125000000000000,1
25,18336,67275,-44.625000000000000,-70.125000000000000,1
26,18337,67276,-46.625000000000000,-70.125000000000000,1
27,18338,67277,-48.625000000000000,-70.125000000000000,1
28,18339,67278,-50.625000000000000,-70.125000000000000,1
29,18340,67279,-52.625000000000000,-70.125000000000000,1
30,18373,67330,-38.625000000000000,-69.875000000000000,1
31,18374,67331,-40.625000000000000,-69.875000000000000,1
32,18375,67332,-42.625000000000000,-69.875000000000000,1
33,18376,67333,-44.625000000000000,-69.875000000000000,1
34,18377,67334,-46.625000000000000,-69.875000000000000,1
35,18378,67335,-48.625000000000000,-69.875000000000000,1
36,18379,67336,-50.625000000000000,-69.875000000000000,1
37,18380,67337,-52.625000000000000,-69.875000000000000,1
38,18412,67388,-38.625000000000000,-69.625000000000000,1
39,18413,67389,-40.625000000000000,-69.625000000000000,1
40,18414,67390,-42.625000000000000,-69.625000000000000,1
41,18415,67391,-44.625000000000000,-69.625000000000000,1
42,18416,67392,-46.625000000000000,-69.625000000000000,1
43,18417,67393,-48.625000000000000,-69.625000000000000,1
44,18418,67394,-50.625000000000000,-69.625000000000000,1
45,18419,67395,-52.625000000000000,-69.625000000000000,1
46,18450,67445,-36.625000000000000,-69.375000000000000,1
47,18451,67446,-38.625000000000000,-69.375000000000000,1
48,18452,67447,-40.625000000000000,-69.375000000000000,1
49,18453,67448,-42.625000000000000,-69.375000000000000,1
50,18454,67449,-44.625000000000000,-69.375000000000000,1
51,18455,67450,-46.625000000000000,-69.375000000000000,1
52,18456,67451,-48.625000000000000,-69.375000000000000,1
53,18457,67452,-50.625000000000000,-69.375000000000000,1
54,18458,67453,-52.625000000000000,-69.375000000000000,1
55,18488,67502,-34.625000000000000,-69.125000000000000,1
56,18489,67503,-36.625000000000000,-69.125000000000000,1
57,18490,67504,-38.625000000000000,-69.125000000000000,1
58,18491,67505,-40.625000000000000,-69.125000000000000,1
59,18492,67506,-42.625000000000000,-69.125000000000000,1
60,18493,67507,-44.625000000000000,-69.125000000000000,1
61,18494,67508,-46.625000000000000,-69.125000000000000,1
62,18495,67509,-48.625000000000000,-69.125000000000000,1
63,18496,67510,-50.625000000000000,-69.125000000000000,1
64,18497,67511,-52.625000000000000,-69.125000000000000,1
65,18527,67560,-34.625000000000000,-68.875000000000000,1
66,18528,67561,-36.625000000000000,-68.875000000000000,1
67,18529,67562,-38.625000000000000,-68.875000000000000,1
68,18530,67563,-40.625000000000000,-68.875000000000000,1
69,18531,67564,-42.625000000000000,-68.875000000000000,1
70,18532,67565,-44.625000000000000,-68.875000000000000,1
71,18533,67566,-46.625000000000000,-68.875000000000000,1
72,18534,67567,-48.625000000000000,-68.875000000000000,1
73,18535,67568,-50.625000000000000,-68.875000000000000,1
74,18536,67569,-52.625000000000000,-68.875000000000000,1
75,18566,67617,-32.625000000000000,-68.625000000000000,1
76,18567,67618,-34.625000000000000,-68.625000000000000,1
77,18568,67619,-36.625000000000000,-68.625000000000000,1
78,18569,67620,-38.625000000000000,-68.625000000000000,1
79,18570,67621,-40.625000000000000,-68.625000000000000,1
80,18571,67622,-42.625000000000000,-68.625000000000000,1
81,18572,67623,-44.625000000000000,-68.625000000000000,1
82,18573,67624,-46.625000000000000,-68.625000000000000,1
83,18574,67625,-48.625000000000000,-68.625000000000000,1
84,18575,67626,-50.625000000000000,-68.625000000000000,1
85,18603,67674,-30.625000000000000,-68.375000000000000,1
86,18604,67675,-32.625000000000000,-68.375000000000000,1
87,18605,67676,-34.625000000000000,-68.375000000000000,1
88,18606,67677,-36.625000000000000,-68.375000000000000,1
89,18607,67678,-38.625000000000000,-68.375000000000000,1
90,18608,67679,-40.625000000000000,-68.375000000000000,1
91,18609,67680,-42.625000000000000,-68.375000000000000,1
92,18610,67681,-44.625000000000000,-68.375000000000000,1
93,18611,67682,-46.625000000000000,-68.375000000000000,1
94,18612,67683,-48.625000000000000,-68.375000000000000,1
95,18613,67684,-50.625000000000000,-68.375000000000000,1
96,18641,67732,-30.625000000000000,-68.125000000000000,1
97,18642,67733,-32.625000000000000,-68.125000000000000,1
98,18643,67734,-34.625000000000000,-68.125000000000000,1
99,18644,67735,-36.625000000000000,-68.125000000000000,1
100,18645,67736,-38.625000000000000,-68.125000000000000,1
