FID,OBJECTID,field,Var1,Var2,value
0,5128,9286,49.375000000000000,40.125000000000000,1
1,5129,9287,47.375000000000000,40.125000000000000,1
2,5130,9288,45.375000000000000,40.125000000000000,1
3,5131,9291,39.375000000000000,40.125000000000000,1
4,5132,9292,37.375000000000000,40.125000000000000,1
5,5133,9293,35.375000000000000,40.125000000000000,1
6,5134,9294,33.375000000000000,40.125000000000000,1
7,5135,9295,31.375000000000000,40.125000000000000,1
8,5136,9296,29.375000000000000,40.125000000000000,1
9,5137,9297,27.375000000000000,40.125000000000000,1
10,5138,9298,25.375000000000000,40.125000000000000,1
11,5139,9299,23.375000000000000,40.125000000000000,1
12,5140,9300,21.375000000000000,40.125000000000000,1
13,5157,9344,49.375000000000000,40.375000000000000,1
14,5158,9345,47.375000000000000,40.375000000000000,1
15,5159,9346,45.375000000000000,40.375000000000000,1
16,5160,9349,39.375000000000000,40.375000000000000,1
17,5161,9350,37.375000000000000,40.375000000000000,1
18,5162,9351,35.375000000000000,40.375000000000000,1
19,5163,9352,33.375000000000000,40.375000000000000,1
20,5164,9353,31.375000000000000,40.375000000000000,1
21,5165,9354,29.375000000000000,40.375000000000000,1
22,5166,9355,27.375000000000000,40.375000000000000,1
23,5167,9356,25.375000000000000,40.375000000000000,1
24,5168,9357,23.375000000000000,40.375000000000000,1
25,5169,9358,21.375000000000000,40.375000000000000,1
26,5185,9402,49.375000000000000,40.625000000000000,1
27,5186,9403,47.375000000000000,40.625000000000000,1
28,5187,9404,45.375000000000000,40.625000000000000,1
29,5188,9407,39.375000000000000,40.625000000000000,1
30,5189,9408,37.375000000000000,40.625000000000000,1
31,5190,9409,35.375000000000000,40.625000000000000,1
32,5191,9410,33.375000000000000,40.625000000000000,1
33,5192,9411,31.375000000000000,40.625000000000000,1
34,5193,9412,29.375000000000000,40.625000000000000,1
35,5194,9413,27.375000000000000,40.625000000000000,1
36,5195,9414,25.375000000000000,40.625000000000000,1
37,5196,9415,23.375000000000000,40.625000000000000,1
38,5197,9416,21.375000000000000,40.625000000000000,1
39,5212,9460,49.375000000000000,40.875000000000000,1
40,5213,9461,47.375000000000000,40.875000000000000,1
41,5214,9462,45.375000000000000,40.875000000000000,1
42,5215,9465,39.375000000000000,40.875000000000000,1
43,5216,9466,37.375000000000000,40.875000000000000,1
44,5217,9467,35.375000000000000,40.875000000000000,1
45,5218,9468,33.375000000000000,40.875000000000000,1
46,5219,9469,31.375000000000000,40.875000000000000,1
47,5220,9470,29.375000000000000,40.875000000000000,1
48,5221,9471,27.375000000000000,40.875000000000000,1
49,5222,9472,25.375000000000000,40.875000000000000,1
50,5223,9473,23.375000000000000,40.875000000000000,1
51,5224,9474,21.375000000000000,40.875000000000000,1
52,5238,9518,49.375000000000000,41.125000000000000,1
