FID,OBJECTID,field,Var1,Var2,value
0,17282,64701,-0.625000000000000,-81.125000000000000,1
1,17283,64702,-2.625000000000000,-81.125000000000000,1
2,17284,64703,-4.625000000000000,-81.125000000000000,1
3,17293,64759,-0.625000000000000,-80.875000000000000,1
4,17294,64760,-2.625000000000000,-80.875000000000000,1
5,17295,64761,-4.625000000000000,-80.875000000000000,1
6,17304,64817,-0.625000000000000,-80.625000000000000,1
7,17305,64818,-2.625000000000000,-80.625000000000000,1
8,17306,64819,-4.625000000000000,-80.625000000000000,1
9,17316,64876,-2.625000000000000,-80.375000000000000,1
10,17317,64877,-4.625000000000000,-80.375000000000000,1
11,17327,64934,-2.625000000000000,-80.125000000000000,1
12,17328,64935,-4.625000000000000,-80.125000000000000,1
13,17338,64992,-2.625000000000000,-79.875000000000000,1
14,17339,64993,-4.625000000000000,-79.875000000000000,1
15,17349,65050,-2.625000000000000,-79.625000000000000,1
16,17350,65051,-4.625000000000000,-79.625000000000000,1
17,17360,65108,-2.625000000000000,-79.375000000000000,1
18,17361,65109,-4.625000000000000,-79.375000000000000,1
19,17371,65166,-2.625000000000000,-79.125000000000000,1
20,17372,65167,-4.625000000000000,-79.125000000000000,1
21,17382,65224,-2.625000000000000,-78.875000000000000,1
22,17383,65225,-4.625000000000000,-78.875000000000000,1
23,17399,65283,-4.625000000000000,-78.625000000000000,1
24,17400,65284,-6.625000000000000,-78.625000000000000,1
25,17401,65285,-8.625000000000000,-78.625000000000000,1
26,17402,65286,-10.625000000000000,-78.625000000000000,1
27,17418,65341,-4.625000000000000,-78.375000000000000,1
28,17419,65342,-6.625000000000000,-78.375000000000000,1
29,17420,65343,-8.625000000000000,-78.375000000000000,1
30,17421,65344,-10.625000000000000,-78.375000000000000,1
31,17437,65399,-4.625000000000000,-78.125000000000000,1
32,17438,65400,-6.625000000000000,-78.125000000000000,1
33,17439,65401,-8.625000000000000,-78.125000000000000,1
34,17440,65402,-10.625000000000000,-78.125000000000000,1
35,17456,65457,-4.625000000000000,-77.875000000000000,1
36,17457,65458,-6.625000000000000,-77.875000000000000,1
37,17458,65459,-8.625000000000000,-77.875000000000000,1
